id,aspect_class,sentiment_class,comment_text
544,,,yriwhdgdisfjishfj1vcjsbsbcksnxnvkdhdkvjskdhfodjvjc heorhgieoehfiruehidehfieurhis hgodeyfieuriieyiryifhfieyfihecjud hfiekdhgjgiriheo
546,,,lucu banget bayi kentutin polisi ntar dimarahin kalau dibangun gimana
547,,,gw b aj tpi adek gw
548,,,bubjbhh cvv bbm b mm n nhhug jjbnjjbhhugbufygvyvvjo juhgchhbhhhhhhbbubhh bvvvvnbbnbnbnb
549,,,iucu sekali
550,,,iseieyei38r3ut
551,,,apa apa an
552,,,kocak banget anjir
553,,,lah langsung pingsan dong
554,,,aku pengen nonton pengantin iblis
555,,,aku telat setahun walau sudah pernah nonton kali maaf kak regi
556,,,rumahnya bisa mirip gthu sama rumah di film aslinya kok bisa mirip banget yach
557,,,iblisnya kok kayak joget gitu ya
558,,,bang coba main permainan yang judulnya danur
559,,,bang itupermainanapaaky mauunduh gemeapa
560,,,aku dari majapahit
561,,,ya ampun itu hantu apa
562,,,loh ini mah pernah nonton filmnya
564,,,sayadang dang
565,,,seram gak tu
566,,,itu ad flimnya kak
567,,,aku sudah menonton pengantin iblis
568,,,poppy pernah poppy pernah poppy pernah poppy pernah poppy pernah5
569,,,whysigsuir
570,,,kak regi kagak sru tapi seru
571,,,hebat gila
572,,,kak regi aku belum nonton pengantin iblis
573,,,serem banget cokkk
574,,,itu movie
575,,,serem banget bang
576,,,ou shit kok ada hantu
577,,,seram banget
578,,,kak kalo nina ketemu harus kabur ya
579,,,bang regi coba maen bareng lagi sama bang upi
580,,,bang miawaug udah nikah ya
581,,,yang dibawah
582,,,itu mungkin mati siri deh kak regi
583,,,aku suka bangat non ft miauwu lucu lawak bangat setiap libur non ton miauwu
584,,,ko regiii fyi mayat bisa melahirkan bayi itu namanya coffin birth jadi yang dorong si bayi untuk keluar adalah gas pembusukan dalam tubuh si ibu langka banget kelahiran kaya begini
585,,,takutnya ternyata malah di salah gunakan bang
586,,,miaw ini abang gw lagi masak mie buat gw gak yangkak sama dog
587,,,februari
588,,,aku biasanya nonton abang pas buka lo
589,,,semangat ayah regi
590,,,fgficeoc arsyla
591,,,kaget terakhir
592,,,kak regi ada ending lg kak coba ke toilet dl kak
593,,,i love you
594,,,coba bikin gem hantu yang paling terkenal angker
595,,,baik natimayingmbaruyanbaik
596,,,bang regi serem banget bang
597,,,bang regi semangat ya
598,,,seruuuu bgt aku fans miwaug
599,,,aku nontonnya segini
600,,,bagus gak
601,,,halo halo
602,,,pasti itu ibu anak itu
603,,,ngerinya
604,,,ikut merinding sumpil demi apel
605,,,bg yang bg reggie pipis lalu balik lagi ada pocong di pot
606,,,woi nama gw dalisya lulu mumtazah
607,,,lgsung sunyi jdi ikutaan takut
